0001.out: !CCSD(T)-F12b total energy          -101.791620497150
0002.out: !CCSD(T)-F12b total energy          -101.791617087961
0003.out: !CCSD(T)-F12b total energy          -101.791617087958
0004.out: !CCSD(T)-F12b total energy          -101.791606860147
0005.out: !CCSD(T)-F12b total energy          -101.791606860150
0006.out: !CCSD(T)-F12b total energy          -101.791619548468
0007.out: !CCSD(T)-F12b total energy          -101.791618618163
0008.out: !CCSD(T)-F12b total energy          -101.791618618163
0009.out: !CCSD(T)-F12b total energy          -101.791619548468
0010.out: !CCSD(T)-F12b total energy          -101.791613660334
0011.out: !CCSD(T)-F12b total energy          -101.791610869462
0012.out: !CCSD(T)-F12b total energy          -101.791610869467
0013.out: !CCSD(T)-F12b total energy          -101.791613660337
0014.out: !CCSD(T)-F12b total energy          -101.791618251006
0015.out: !CCSD(T)-F12b total energy          -101.791618251007
0016.out: !CCSD(T)-F12b total energy          -101.791616702411
0017.out: !CCSD(T)-F12b total energy          -101.791612981339
0018.out: !CCSD(T)-F12b total energy          -101.791612981332
0019.out: !CCSD(T)-F12b total energy          -101.791616702411
0020.out: !CCSD(T)-F12b total energy          -101.791615986538
0021.out: !CCSD(T)-F12b total energy          -101.791613195866
0022.out: !CCSD(T)-F12b total energy          -101.791613195870
0023.out: !CCSD(T)-F12b total energy          -101.791615986538
0024.out: !CCSD(T)-F12b total energy          -101.791611513148
0025.out: !CCSD(T)-F12b total energy          -101.791611513145
0026.out: !CCSD(T)-F12b total energy          -101.791599519470
0027.out: !CCSD(T)-F12b total energy          -101.791599624935
0028.out: !CCSD(T)-F12b total energy          -101.791596101509
0029.out: !CCSD(T)-F12b total energy          -101.791596101505
0030.out: !CCSD(T)-F12b total energy          -101.791596224795
0031.out: !CCSD(T)-F12b total energy          -101.791596224802
0032.out: !CCSD(T)-F12b total energy          -101.791598567158
0033.out: !CCSD(T)-F12b total energy          -101.791597639757
0034.out: !CCSD(T)-F12b total energy          -101.791597639755
0035.out: !CCSD(T)-F12b total energy          -101.791598567158
0036.out: !CCSD(T)-F12b total energy          -101.791598679912
0037.out: !CCSD(T)-F12b total energy          -101.791597746812
0038.out: !CCSD(T)-F12b total energy          -101.791597746812
0039.out: !CCSD(T)-F12b total energy          -101.791598679912
0040.out: !CCSD(T)-F12b total energy          -101.791597273391
0041.out: !CCSD(T)-F12b total energy          -101.791597273386
0042.out: !CCSD(T)-F12b total energy          -101.791597378766
0043.out: !CCSD(T)-F12b total energy          -101.791597378768
0044.out: !CCSD(T)-F12b total energy          -101.791535932673
0045.out: !CCSD(T)-F12b total energy          -101.791537667555
0046.out: !CCSD(T)-F12b total energy          -101.791532506198
0047.out: !CCSD(T)-F12b total energy          -101.791532506194
0048.out: !CCSD(T)-F12b total energy          -101.791534276711
0049.out: !CCSD(T)-F12b total energy          -101.791534276708
0050.out: !CCSD(T)-F12b total energy          -101.791534976744
0051.out: !CCSD(T)-F12b total energy          -101.791534052344
0052.out: !CCSD(T)-F12b total energy          -101.791534052351
0053.out: !CCSD(T)-F12b total energy          -101.791534976746
0054.out: !CCSD(T)-F12b total energy          -101.791536726188
0055.out: !CCSD(T)-F12b total energy          -101.791535790395
0056.out: !CCSD(T)-F12b total energy          -101.791535790397
0057.out: !CCSD(T)-F12b total energy          -101.791536726190
0058.out: !CCSD(T)-F12b total energy          -101.791533686655
0059.out: !CCSD(T)-F12b total energy          -101.791533686659
0060.out: !CCSD(T)-F12b total energy          -101.791535421354
0061.out: !CCSD(T)-F12b total energy          -101.791535421359
0062.out: !CCSD(T)-F12b total energy          -101.791428983954
0063.out: !CCSD(T)-F12b total energy          -101.791435394179
0064.out: !CCSD(T)-F12b total energy          -101.791277928026
0065.out: !CCSD(T)-F12b total energy          -101.791293577649
0066.out: !CCSD(T)-F12b total energy          -101.791618927032
0067.out: !CCSD(T)-F12b total energy          -101.791618844655
0068.out: !CCSD(T)-F12b total energy          -101.791615515455
0069.out: !CCSD(T)-F12b total energy          -101.791615515456
0070.out: !CCSD(T)-F12b total energy          -101.791615437864
0071.out: !CCSD(T)-F12b total energy          -101.791615437865
0072.out: !CCSD(T)-F12b total energy          -101.791617978436
0073.out: !CCSD(T)-F12b total energy          -101.791617044316
0074.out: !CCSD(T)-F12b total energy          -101.791617044315
0075.out: !CCSD(T)-F12b total energy          -101.791617978436
0076.out: !CCSD(T)-F12b total energy          -101.791617895897
0077.out: !CCSD(T)-F12b total energy          -101.791616969448
0078.out: !CCSD(T)-F12b total energy          -101.791616969454
0079.out: !CCSD(T)-F12b total energy          -101.791617895905
0080.out: !CCSD(T)-F12b total energy          -101.791616675998
0081.out: !CCSD(T)-F12b total energy          -101.791616675998
0082.out: !CCSD(T)-F12b total energy          -101.791616603522
0083.out: !CCSD(T)-F12b total energy          -101.791616603522
0084.out: !CCSD(T)-F12b total energy          -101.791597604047
0085.out: !CCSD(T)-F12b total energy          -101.791598393598
0086.out: !CCSD(T)-F12b total energy          -101.791598210372
0087.out: !CCSD(T)-F12b total energy          -101.791597635497
0088.out: !CCSD(T)-F12b total energy          -101.791594183697
0089.out: !CCSD(T)-F12b total energy          -101.791594183697
0090.out: !CCSD(T)-F12b total energy          -101.791594991069
0091.out: !CCSD(T)-F12b total energy          -101.791594991062
0092.out: !CCSD(T)-F12b total energy          -101.791594794794
0093.out: !CCSD(T)-F12b total energy          -101.791594794803
0094.out: !CCSD(T)-F12b total energy          -101.791594237759
0095.out: !CCSD(T)-F12b total energy          -101.791594237754
0096.out: !CCSD(T)-F12b total energy          -101.791596651819
0097.out: !CCSD(T)-F12b total energy          -101.791595720605
0098.out: !CCSD(T)-F12b total energy          -101.791595720609
0099.out: !CCSD(T)-F12b total energy          -101.791596651819
0100.out: !CCSD(T)-F12b total energy          -101.791597448653
0101.out: !CCSD(T)-F12b total energy          -101.791596511735
0102.out: !CCSD(T)-F12b total energy          -101.791596511744
0103.out: !CCSD(T)-F12b total energy          -101.791597448656
0104.out: !CCSD(T)-F12b total energy          -101.791597257983
0105.out: !CCSD(T)-F12b total energy          -101.791596334439
0106.out: !CCSD(T)-F12b total energy          -101.791596334434
0107.out: !CCSD(T)-F12b total energy          -101.791597257987
0108.out: !CCSD(T)-F12b total energy          -101.791596690386
0109.out: !CCSD(T)-F12b total energy          -101.791595761145
0110.out: !CCSD(T)-F12b total energy          -101.791595761146
0111.out: !CCSD(T)-F12b total energy          -101.791596690385
0112.out: !CCSD(T)-F12b total energy          -101.791595353064
0113.out: !CCSD(T)-F12b total energy          -101.791595353067
0114.out: !CCSD(T)-F12b total energy          -101.791596142534
0115.out: !CCSD(T)-F12b total energy          -101.791596142529
0116.out: !CCSD(T)-F12b total energy          -101.791595969302
0117.out: !CCSD(T)-F12b total energy          -101.791595969302
0118.out: !CCSD(T)-F12b total energy          -101.791595394327
0119.out: !CCSD(T)-F12b total energy          -101.791595394332
0120.out: !CCSD(T)-F12b total energy          -101.791533665511
0121.out: !CCSD(T)-F12b total energy          -101.791536768352
0122.out: !CCSD(T)-F12b total energy          -101.791534973315
0123.out: !CCSD(T)-F12b total energy          -101.791535347700
0124.out: !CCSD(T)-F12b total energy          -101.791426358738
0125.out: !CCSD(T)-F12b total energy          -101.791434820409
0126.out: !CCSD(T)-F12b total energy          -101.791428380586
0127.out: !CCSD(T)-F12b total energy          -101.791432750562
0128.out: !CCSD(T)-F12b total energy          -101.791614112237
0129.out: !CCSD(T)-F12b total energy          -101.791613991725
0130.out: !CCSD(T)-F12b total energy          -101.791610698289
0131.out: !CCSD(T)-F12b total energy          -101.791610698290
0132.out: !CCSD(T)-F12b total energy          -101.791610587345
0133.out: !CCSD(T)-F12b total energy          -101.791610587343
0134.out: !CCSD(T)-F12b total energy          -101.791613163743
0135.out: !CCSD(T)-F12b total energy          -101.791612225855
0136.out: !CCSD(T)-F12b total energy          -101.791612225847
0137.out: !CCSD(T)-F12b total energy          -101.791613163737
0138.out: !CCSD(T)-F12b total energy          -101.791613042905
0139.out: !CCSD(T)-F12b total energy          -101.791612120347
0140.out: !CCSD(T)-F12b total energy          -101.791612120351
0141.out: !CCSD(T)-F12b total energy          -101.791613042905
0142.out: !CCSD(T)-F12b total energy          -101.791611856427
0143.out: !CCSD(T)-F12b total energy          -101.791611856424
0144.out: !CCSD(T)-F12b total energy          -101.791611755714
0145.out: !CCSD(T)-F12b total energy          -101.791611755716
0146.out: !CCSD(T)-F12b total energy          -101.791592442054
0147.out: !CCSD(T)-F12b total energy          -101.791593919379
0148.out: !CCSD(T)-F12b total energy          -101.791593698929
0149.out: !CCSD(T)-F12b total energy          -101.791592447459
0150.out: !CCSD(T)-F12b total energy          -101.791528149819
0151.out: !CCSD(T)-F12b total energy          -101.791532628008
0152.out: !CCSD(T)-F12b total energy          -101.791530809601
0153.out: !CCSD(T)-F12b total energy          -101.791529831008
0154.out: !CCSD(T)-F12b total energy          -101.791606030804
0155.out: !CCSD(T)-F12b total energy          -101.791605960649
0156.out: !CCSD(T)-F12b total energy          -101.791584011569
0157.out: !CCSD(T)-F12b total energy          -101.791586180314
0158.out: !CCSD(T)-F12b total energy          -101.791586007381
0159.out: !CCSD(T)-F12b total energy          -101.791584083128
0160.out: !CCSD(T)-F12b total energy          -101.791594660912
0161.out: !CCSD(T)-F12b total energy          -101.791594773839
